taxon_name,taxon_authors,accepted_plant_name_id,keep,family,genus,species,Standardized_names,TPL_names,TPL_Author,TPL_names.withAuthor,invasion_status,c_score,s_score,r_score,wcup_eco_use_AF,wcup_eco_use_EU,wcup_eco_use_FU,wcup_eco_use_GS,wcup_eco_use_HF,wcup_eco_use_IF,wcup_eco_use_MA,wcup_eco_use_ME,wcup_eco_use_PO,wcup_eco_use_SU,wcup_eco_use_num,wcup_eco_use_num_2out,wcup_eco_use_status,Checked_year,Provience_pinyin,Geo.region,Geo.region4,provinces,n.provinces,BG_codes
Abies alba,Mill.,381621,Matched to an accepted name,Pinaceae,Abies,alba,Abies alba,Abies alba,Mill.,Abies alba Mill.,1,5.673252785,94.32674721,0,0,0,0,0,0,0,1,1,0,0,2,2,1,1957,Jiangsu,East,East,Jiangsu,1,CSFI CSFI000054
Abies balsamea,(L.) Mill.,381647,Matched to an accepted name,Pinaceae,Abies,balsamea,Abies balsamea,Abies balsamea,(L.) Mill.,Abies balsamea (L.) Mill.,1,0,89.66179403,10.33820597,0,1,0,0,0,0,1,1,0,1,4,4,1,1982,Tibet,Southwest,West,Tibet,1,PE 00003117
Abrus precatorius,L.,2610328,Matched to an accepted name,Fabaceae,Abrus,precatorius,Abrus precatorius,Abrus precatorius,L.,Abrus precatorius L.,1,1.775708602,58.44475177,39.77953963,1,1,0,0,1,0,1,1,1,1,7,6,1,1917,Guangdong,South,East,Guangdong; Taiwan; Hongkong; Guangxi; Hainan; Yunnan; Fujian; Guizhou,8,SYS sys00040576; PE 01604119
Abrus precatorius,L.,2610328,Matched to an accepted name,Fabaceae,Abrus,precatorius,Abrus precatorius,Abrus precatorius,L.,Abrus precatorius L.,1,1.775708602,58.44475177,39.77953963,1,1,0,0,1,0,1,1,1,1,7,6,1,1928,Guangxi,South,West,Guangdong; Taiwan; Hongkong; Guangxi; Hainan; Yunnan; Fujian; Guizhou,8,IBSC 0163047; NAS NAS00399783; NAS NAS00376864
Abrus precatorius,L.,2610328,Matched to an accepted name,Fabaceae,Abrus,precatorius,Abrus precatorius,Abrus precatorius,L.,Abrus precatorius L.,1,1.775708602,58.44475177,39.77953963,1,1,0,0,1,0,1,1,1,1,7,6,1,1932,Hainan,South,East,Guangdong; Taiwan; Hongkong; Guangxi; Hainan; Yunnan; Fujian; Guizhou,8,SYS sys00040566; LBG 00082894; PE 00099451; N 128078582; AU AU041083; SZ 00115977; IBSC 0163032; AU AU041084; NAS NAS00376862; KUN 0588449; IBK IBK00069704
Abrus precatorius,L.,2610328,Matched to an accepted name,Fabaceae,Abrus,precatorius,Abrus precatorius,Abrus precatorius,L.,Abrus precatorius L.,1,1.775708602,58.44475177,39.77953963,1,1,0,0,1,0,1,1,1,1,7,6,1,1935,Yunnan,Southwest,West,Guangdong; Taiwan; Hongkong; Guangxi; Hainan; Yunnan; Fujian; Guizhou,8,IBSC 0163055
Abrus precatorius,L.,2610328,Matched to an accepted name,Fabaceae,Abrus,precatorius,Abrus precatorius,Abrus precatorius,L.,Abrus precatorius L.,1,1.775708602,58.44475177,39.77953963,1,1,0,0,1,0,1,1,1,1,7,6,1,1959,Fujian,East,East,Guangdong; Taiwan; Hongkong; Guangxi; Hainan; Yunnan; Fujian; Guizhou,8,AU 006139
Abrus precatorius,L.,2610328,Matched to an accepted name,Fabaceae,Abrus,precatorius,Abrus precatorius,Abrus precatorius,L.,Abrus precatorius L.,1,1.775708602,58.44475177,39.77953963,1,1,0,0,1,0,1,1,1,1,7,6,1,2008,Guizhou,Southwest,West,Guangdong; Taiwan; Hongkong; Guangxi; Hainan; Yunnan; Fujian; Guizhou,8,QNUN QNUN0007732; QNUN QNUN0005427
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1905,Hunan,Central,Central,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,PE 01286237
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1915,Anhui,East,Central,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,N 110175047; N 110175147; N 110175146
