TPL_names,Standardized_names,invasion_status,TPL_Author,TPL_names.withAuthor,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,min_record_year_cvh,...21,resolved_match_type,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,keep,c_score,s_score,r_score,wcup_eco_use_AF,wcup_eco_use_EU,wcup_eco_use_FU,wcup_eco_use_GS,wcup_eco_use_HF,wcup_eco_use_IF,wcup_eco_use_MA,wcup_eco_use_ME,wcup_eco_use_PO,wcup_eco_use_SU,wcup_eco_use_num,wcup_eco_use_num_2out,wcup_eco_use_status
Abies alba,Abies alba,1,Mill.,Abies alba Mill.,Exact (with author),FALSE,1,0,381621,Abies alba,Mill.,Species,Accepted,NA,60468511-2,381621,0,5,1957,NA,Exact (with author),60468511-2,Species,Accepted,Pinaceae,NA,Abies,NA,alba,NA,NA,NA,Mill.,NA,Gard. Dict. ed. 7.,: n.?? 1,-1756,NA,Pyrenees to Carpathians and Balkan Pen.,tree,temperate,Abies alba,Mill.,381621,380361,L.,NA,381615,60468511-2,NA,Y,Matched to an accepted name,5.673252785,94.32674721,0,0,0,0,0,0,0,1,1,0,0,2,2,1
Abies balsamea,Abies balsamea,1,(L.) Mill.,Abies balsamea (L.) Mill.,Exact (with author),FALSE,1,0,381647,Abies balsamea,(L.) Mill.,Species,Accepted,NA,1084057-2,381647,0,10,1982,NA,Exact (with author),1084057-2,Species,Accepted,Pinaceae,NA,Abies,NA,balsamea,NA,NA,L.,Mill.,NA,Gard. Dict. ed. 8.,: n.?? 3,-1768,NA,C. & E. Canada to Virginia,tree,temperate,Abies balsamea,(L.) Mill.,381647,380535,NA,NA,381615,1084057-2,NA,Y,Matched to an accepted name,0,89.66179403,10.33820597,0,1,0,0,0,0,1,1,0,1,4,4,1
Abies concolor,Abies concolor,1,(Gordon) Lindl. ex Hildebr.,Abies concolor (Gordon) Lindl. ex Hildebr.,Exact (without author),FALSE,1,0,381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,Accepted,NA,1031026-2,381713,9,20,NA,NA,Exact (without author),1031026-2,Species,Accepted,Pinaceae,NA,Abies,NA,concolor,NA,NA,Gordon & Glend.,Lindl. ex Hildebr.,NA,Verh. Naturhist. Vereines Preuss. Rheinl. Westphalens,0.93125,-1861,NA,"W. U.S.A. to Mexico (N. Baja California, NE. Sonora, N. Chihuahua)",tree,temperate,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,381713,380616,NA,NA,381615,1031026-2,NA,Y,Matched to an accepted name,4.802842285,95.19715772,0,0,1,0,0,0,0,1,1,0,1,4,4,1
Abies grandis,Abies grandis,1,(Douglas ex D.Don) Lindl.,Abies grandis (Douglas ex D.Don) Lindl.,Exact (with author),FALSE,1,0,381804,Abies grandis,(Douglas ex D.Don) Lindl.,Species,Accepted,NA,1033427-2,381804,0,25,NA,NA,Exact (with author),1033427-2,Species,Accepted,Pinaceae,NA,Abies,NA,grandis,NA,NA,Douglas ex D.Don,Lindl.,NA,Penny Cyclop.,1:30,-1833,NA,SW. Canada to N. California,tree,temperate,Abies grandis,(Douglas ex D.Don) Lindl.,381804,379887,NA,NA,381615,1033427-2,NA,Y,Matched to an accepted name,3.588265147,89.12171697,7.290017886,0,1,0,0,0,0,1,1,0,1,4,4,1
Abies lasiocarpa,Abies lasiocarpa,1,(Hook.) Nutt.,Abies lasiocarpa (Hook.) Nutt.,Exact (with author),FALSE,1,0,381853,Abies lasiocarpa,(Hook.) Nutt.,Species,Accepted,NA,1081948-2,381853,0,13,NA,NA,Exact (with author),1081948-2,Species,Accepted,Pinaceae,NA,Abies,NA,lasiocarpa,NA,NA,Hook.,Nutt.,NA,N. Amer. Sylv.,0.220833333,-1849,NA,Alaska to W. U.S.A. and New Mexico,tree,temperate,Abies lasiocarpa,(Hook.) Nutt.,381853,379687,NA,NA,381615,1081948-2,NA,Y,Matched to an accepted name,1.731569723,92.64618961,5.622240669,0,1,0,0,0,0,1,1,0,0,3,3,1
Abrus precatorius,Abrus precatorius,1,L.,Abrus precatorius L.,Exact (with author),FALSE,1,0,2610328,Abrus precatorius,L.,Species,Accepted,NA,469605-1,2610328,0,2,1917,NA,Exact (with author),469605-1,Species,Accepted,Fabaceae,NA,Abrus,NA,precatorius,NA,NA,NA,L.,NA,Syst. Nat. ed. 12.,0.411111111,-1767,NA,Trop. & Subtrop. Old World to N. & E. Australia,climbing shrub,seasonally dry tropical,Abrus precatorius,L.,2610328,NA,NA,NA,2610294,469605-1,NA,Y,Matched to an accepted name,1.775708602,58.44475177,39.77953963,1,1,0,0,1,0,1,1,1,1,7,6,1
Abutilon theophrasti,Abutilon theophrasti,3,Medik.,Abutilon theophrasti Medik.,Exact (with author),FALSE,1,0,2611008,Abutilon theophrasti,Medik.,Species,Accepted,NA,1044174-2,2611008,0,6,1905,NA,Exact (with author),1044174-2,Species,Accepted,Malvaceae,NA,Abutilon,NA,theophrasti,NA,NA,NA,Medik.,NA,Malvenfam.,: 28,-1787,NA,C. Asia to China,annual,subtropical,Abutilon theophrasti,Medik.,2611008,2587884,L.,NA,2610430,1044174-2,NA,N,Matched to an accepted name,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1
Acacia aneura,Acacia aneura,1,Benth.,Acacia aneura Benth.,Exact (without author),FALSE,1,0,2611217,Acacia aneura,F.Muell. ex Benth.,Species,Accepted,NA,469715-1,2611217,12,6,NA,NA,Exact (without author),469715-1,Species,Accepted,Fabaceae,NA,Acacia,NA,aneura,NA,NA,NA,F.Muell. ex Benth.,NA,Linnaea,26: 627,-1855,NA,Australia,shrub or tree,desert or dry shrubland,Acacia aneura,F.Muell. ex Benth.,2611217,NA,NA,NA,2611079,469715-1,NA,Y,Matched to an accepted name,11.58435237,88.41564763,0,1,1,0,0,0,0,1,1,0,0,4,4,1
Acacia aulacocarpa,Acacia aulacocarpa,1,Benth.,Acacia aulacocarpa Benth.,Exact (without author),FALSE,1,0,2611355,Acacia aulacocarpa,A.Cunn. ex Benth.,Species,Accepted,NA,469779-1,2611355,11,6,NA,NA,Exact (without author),469779-1,Species,Accepted,Fabaceae,NA,Acacia,NA,aulacocarpa,NA,NA,NA,A.Cunn. ex Benth.,NA,London J. Bot.,0.304861111,-1842,NA,"New Guinea, E. Queensland to NE. New South Wales",shrub or tree,subtropical,Acacia aulacocarpa,A.Cunn. ex Benth.,2611355,NA,NA,NA,2611079,469779-1,NA,Y,Matched to an accepted name,28.92342972,71.07657028,0,1,1,1,0,0,1,1,1,0,0,6,6,1
Acacia crassicarpa,Acacia crassicarpa,1,Benth.,Acacia crassicarpa Benth.,Exact (without author),FALSE,1,0,2611792,Acacia crassicarpa,A.Cunn. ex Benth.,Species,Accepted,NA,470072-1,2611792,11,6,NA,NA,Exact (without author),470072-1,Species,Accepted,Fabaceae,NA,Acacia,NA,crassicarpa,NA,NA,NA,A.Cunn. ex Benth.,NA,London J. Bot.,0.304861111,-1842,NA,S. New Guinea to N. & NE. Queensland,tree,wet tropical,Acacia crassicarpa,A.Cunn. ex Benth.,2611792,NA,NA,NA,2611079,470072-1,NA,Y,Matched to an accepted name,29.64129928,65.49544332,4.8632574,0,1,1,0,1,0,1,0,0,0,4,4,1
Acacia dealbata,Acacia dealbata,2,Link,Acacia dealbata Link,Exact (with author),FALSE,1,0,2611879,Acacia dealbata,Link,Species,Accepted,NA,470130-1,2611879,0,4,1946,NA,Exact (with author),470130-1,Species,Accepted,Fabaceae,NA,Acacia,NA,dealbata,NA,NA,NA,Link,NA,Enum. Hort. Berol. Alt.,0.350694444,-1821,NA,SE. Australia,shrub or tree,temperate,Acacia dealbata,Link,2611879,NA,NA,NA,2611079,470130-1,NA,Y,Matched to an accepted name,34.8394487,57.23292012,7.92763118,0,1,1,1,1,1,1,1,0,0,7,6,1
Acacia farnesiana,Acacia farnesiana,2,(L.) Willd.,Acacia farnesiana (L.) Willd.,Exact (with author),FALSE,1,0,2612172,Acacia farnesiana,(L.) Willd.,Species,Synonym,TRUE,470307-1,2452405,0,11,1905,NA,Exact (with author),1099713-2,Species,Accepted,Fabaceae,NA,Vachellia,NA,farnesiana,NA,NA,L.,Wight & Arn.,NA,Prodr. Fl. Ind. Orient.,0.230555556,-1834,NA,Trop. & Subtrop. America,tree,wet tropical,Vachellia farnesiana,(L.) Wight & Arn.,2452405,2374419,NA,NA,2452411,1099713-2,NA,Y,Matched to an accepted name,3.942919526,83.46032882,12.59675165,1,1,1,1,1,1,1,1,0,0,8,7,1
Acacia holosericea,Acacia holosericea,1,G.Don,Acacia holosericea G.Don,Exact (without author),FALSE,1,0,2612489,Acacia holosericea,A.Cunn. ex G.Don,Species,Accepted,NA,470538-1,2612489,11,5,1982,NA,Exact (without author),470538-1,Species,Accepted,Fabaceae,NA,Acacia,NA,holosericea,NA,NA,NA,A.Cunn. ex G.Don,NA,Gen. Hist.,0.365972222,-1832,NA,N. & NC. Australia,shrub or tree,seasonally dry tropical,Acacia holosericea,A.Cunn. ex G.Don,2612489,NA,NA,NA,2611079,470538-1,NA,Y,Matched to an accepted name,28.59379804,71.40620196,0,1,1,1,1,1,0,1,1,0,0,7,6,1
Acacia longifolia,Acacia longifolia,2,(Andrews) Willd.,Acacia longifolia (Andrews) Willd.,Exact (with author),FALSE,1,0,2612825,Acacia longifolia,(Andrews) Willd.,Species,Accepted,NA,470782-1,2612825,0,16,2010,NA,Exact (with author),470782-1,Species,Accepted,Fabaceae,NA,Acacia,NA,longifolia,NA,NA,Andrews,Willd.,NA,Sp. Pl. ed. 4.,0.897222222,-1806,NA,SE. Queensland to SE. Australia,shrub or tree,subtropical,Acacia longifolia,(Andrews) Willd.,2612825,2374708,NA,NA,2611079,470782-1,NA,Y,Matched to an accepted name,25.17343973,74.82656027,0,0,1,0,1,1,0,1,1,0,0,5,4,1
Acacia mangium,Acacia mangium,1,Willd.,Acacia mangium Willd.,Exact (with author),FALSE,1,0,2612925,Acacia mangium,Willd.,Species,Accepted,NA,470839-1,2612925,0,6,1985,NA,Exact (with author),470839-1,Species,Accepted,Fabaceae,NA,Acacia,NA,mangium,NA,NA,NA,Willd.,NA,Sp. Pl. ed. 4.,0.897916667,-1806,NA,Maluku to N. Queensland,tree,wet tropical,Acacia mangium,Willd.,2612925,NA,NA,NA,2611079,470839-1,NA,Y,Matched to an accepted name,34.85718901,64.83954157,0.303269418,1,1,1,0,1,0,1,1,0,0,6,6,1
Acacia melanoxylon,Acacia melanoxylon,1,R.Br.,Acacia melanoxylon R.Br.,Exact (with author),FALSE,1,0,2612971,Acacia melanoxylon,R.Br.,Species,Accepted,NA,470873-1,2612971,0,5,2014,NA,Exact (with author),470873-1,Species,Accepted,Fabaceae,NA,Acacia,NA,melanoxylon,NA,NA,NA,R.Br.,W.T.Aiton,Hortus Kew.,0.529166667,-1813,NA,E. & SE. Australia,shrub or tree,subtropical,Acacia melanoxylon,R.Br.,2612971,NA,NA,NA,2611079,470873-1,NA,Y,Matched to an accepted name,30.84427422,53.69995158,15.45577421,1,1,1,0,1,0,1,1,1,0,7,6,1
Acacia senegal,Acacia senegal,2,(L.) Willd.,Acacia senegal (L.) Willd.,Exact (with author),FALSE,1,0,2613788,Acacia senegal,(L.) Willd.,Species,Synonym,TRUE,471439-1,2590817,0,11,1946,NA,Exact (with author),518304-1,Species,Accepted,Fabaceae,NA,Senegalia,NA,senegal,NA,NA,L.,Britton,N.L.Britton & P.Wilson,Sci. Surv. Porto Rico & Virgin Islands,0.623611111,-1930,NA,Trop. & S. Africa to India,shrub or tree,desert or dry shrubland,Senegalia senegal,(L.) Britton,2590817,2373507,NA,NA,2590638,518304-1,NA,Y,Matched to an accepted name,10.10506117,76.00318148,13.89175734,1,1,1,1,1,1,1,1,1,1,10,8,1
Acacia suaveolens,Acacia suaveolens,1,(Sm.) Willd.,Acacia suaveolens (Sm.) Willd.,Exact (with author),FALSE,1,0,2613979,Acacia suaveolens,(Sm.) Willd.,Species,Accepted,NA,471572-1,2613979,0,12,NA,NA,Exact (with author),471572-1,Species,Accepted,Fabaceae,NA,Acacia,NA,suaveolens,NA,NA,Sm.,Willd.,NA,Sp. Pl. ed. 4.,0.895833333,-1806,NA,SE. Queensland to SE. Australia,shrub,subtropical,Acacia suaveolens,(Sm.) Willd.,2613979,2374106,NA,NA,2611079,471572-1,NA,Y,Matched to an accepted name,19.07005746,80.92994254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia terminalis,Acacia terminalis,1,(Salisb.) J.F.Macbr.,Acacia terminalis (Salisb.) J.F.Macbr.,Exact (with author),FALSE,1,0,2614073,Acacia terminalis,(Salisb.) J.F.Macbr.,Species,Accepted,NA,471643-1,2614073,0,20,NA,NA,Exact (with author),471643-1,Species,Accepted,Fabaceae,NA,Acacia,NA,terminalis,NA,NA,Salisb.,J.F.Macbr.,NA,Contr. Gray Herb.,59:07:00,-1919,NA,SE. Australia,shrub or tree,temperate,Acacia terminalis,(Salisb.) J.F.Macbr.,2614073,2374116,NA,NA,2611079,471643-1,NA,Y,Matched to an accepted name,28.31119581,71.68880419,0,1,1,1,1,1,1,1,1,1,1,10,8,1
