tip_label,species,status,tip_order
Trifolium_fragiferum,Trifolium_fragiferum,exisiting species in the megatree,1
Trifolium_resupinatum,Trifolium_resupinatum,exisiting species in the megatree,2
Trifolium_hybridum,Trifolium_hybridum,exisiting species in the megatree,3
Trifolium_alexandrinum,Trifolium_alexandrinum,exisiting species in the megatree,4
Trifolium_repens,Trifolium_repens,exisiting species in the megatree,5
Trifolium_ambiguum,Trifolium_ambiguum,exisiting species in the megatree,6
Trifolium_medium,Trifolium_medium,exisiting species in the megatree,7
Trifolium_rubens,Trifolium_rubens,exisiting species in the megatree,8
Trifolium_pratense,Trifolium_pratense,exisiting species in the megatree,9
Trifolium_incarnatum,Trifolium_incarnatum,exisiting species in the megatree,10
Trifolium_subterraneum,Trifolium_subterraneum,exisiting species in the megatree,11
Trifolium_campestre,Trifolium_campestre,exisiting species in the megatree,12
Trifolium_dubium,Trifolium_dubium,exisiting species in the megatree,13
Trifolium_aureum,Trifolium_aureum,exisiting species in the megatree,14
Medicago_littoralis,Medicago_littoralis,exisiting species in the megatree,15
Medicago_sativa,Medicago_sativa,exisiting species in the megatree,16
Medicago_polymorpha,Medicago_polymorpha,exisiting species in the megatree,17
Medicago_arabica,Medicago_arabica,exisiting species in the megatree,18
Medicago_orbicularis,Medicago_orbicularis,exisiting species in the megatree,19
Medicago_minima,Medicago_minima,exisiting species in the megatree,20
Trigonella_foenum-graecum,Trigonella_foenum-graecum,exisiting species in the megatree,21
Ononis_spinosa,Ononis_spinosa,exisiting species in the megatree,22
Lathyrus_latifolius,Lathyrus_latifolius,exisiting species in the megatree,23
Lathyrus_sylvestris,Lathyrus_sylvestris,exisiting species in the megatree,24
Lathyrus_sativus,Lathyrus_sativus,exisiting species in the megatree,25
Lathyrus_linifolius,Lathyrus_linifolius,exisiting species in the megatree,26
Lathyrus_vernus,Lathyrus_vernus,exisiting species in the megatree,27
Lathyrus_aphaca,Lathyrus_aphaca,exisiting species in the megatree,28
Vicia_faba,Vicia_faba,exisiting species in the megatree,29
Vicia_grandiflora,Vicia_grandiflora,exisiting species in the megatree,30
Vicia_pannonica,Vicia_pannonica,exisiting species in the megatree,31
Vicia_benghalensis,Vicia_benghalensis,exisiting species in the megatree,32
Vicia_villosa,Vicia_villosa,exisiting species in the megatree,33
Vicia_ervilia,Vicia_ervilia,grafted at genus level,34
Lathyrus_oleraceus,Lathyrus_oleraceus,grafted at genus level,35
Lathyrus_niger,Lathyrus_niger,grafted at genus level,36
Lathyrus_odoratus,Lathyrus_odoratus,grafted at genus level,37
Galega_officinalis,Galega_officinalis,exisiting species in the megatree,38
Astragalus_glycyphyllos,Astragalus_glycyphyllos,exisiting species in the megatree,39
